country_name,matched_fishing,matched_unknown_likelyfish,matched_nonfishing,matched_unknown_likelynonfish,unmatched_fishing,unmatched_nonfishing,sum_match_unmatched,ratio_unmatch_matched
Belize,0,0.018938007,4.393076349,0.278059989,1.88371005,2.257778515,1.88371005,1
Bermuda,0,0.00370169,1.817564774,0.047923862,0.212280287,0.139303765,0.212280287,1
Greenland,0,0,0,0,0.419486476,0.085275429,0.419486476,1
Monaco,0,0.003545207,0.263371203,0.01362079,0.031848997,0.012554609,0.031848997,1
Palau,0,0,0.006849315,0,0.017594716,0.002953229,0.017594716,1
Saint Martin,0,0.011244742,1.17159388,0.083031352,0.051893934,0.200530013,0.051893934,1
Turks and Caicos Islands,0,0.026548742,4.687576776,0.258271168,1.442518329,1.715602265,1.442518329,1
Bangladesh,0.069917372,0.541233826,95.16262653,4.220386095,283.8528523,94.44076116,283.9227697,0.999753745
Iraq,0.012177006,0.461966142,22.01514698,2.676203897,25.03365397,10.2901574,25.04583098,0.999513811
Myanmar,0.320474263,0.493505068,34.33659287,2.427896818,584.4976448,399.6352832,584.8181191,0.99945201
Cambodia,0.086445339,0.649215738,12.25235349,0.856065495,131.6824995,69.19652421,131.7689448,0.999343963
Jamaica,0.018056093,0.123185237,41.19434419,1.729703778,13.61194856,7.289700265,13.63000465,0.998675269
"State of Palestine (In accordance with Resolution 99 Rev. Guadalajara, 2010)",0.006888634,0.000951815,0.102332546,0.00134308,3.473553537,1.22379434,3.480442171,0.998020759
Philippines,1.333141943,2.706193247,469.7220309,24.89280781,626.5001991,426.244603,627.833341,0.997876599
Cuba,0.034124636,0.360668179,65.21640562,3.319930586,15.56756573,17.95366886,15.60169037,0.99781276
Haiti,0.007340496,0.083038197,15.70795297,0.82032818,3.186671222,2.728974104,3.194011718,0.997701794
Egypt,0.379735955,0.871557279,213.8652442,7.541620897,158.2229137,38.42230117,158.6026497,0.99760574
Pakistan,0.297130058,0.713402639,46.28905903,2.390843039,94.22813609,28.11274228,94.52526615,0.996856607
Jordan,0.001129944,0.002575282,1.730739951,0.033634583,0.328997077,0.149203252,0.330127021,0.996577245
Nicaragua,0.133529305,0.065267894,17.05212533,0.542244895,35.40291443,15.51769947,35.53644374,0.996242469
Honduras,0.157337356,0.048386883,13.52920163,0.473539188,38.38544058,21.28362963,38.54277794,0.995917851
The Bahamas,0.147960027,0.602165762,111.5871158,4.748897277,32.9175288,27.18680717,33.06548883,0.995525243
Lebanon,0.017160647,0.046637119,9.863641024,0.301921439,3.432458717,2.804471053,3.449619364,0.995025351
El Salvador,0.13023707,0.039814812,9.395674473,0.331664434,23.10370666,4.883937489,23.23394373,0.994394535
Kuwait,0.188116943,0.526796528,35.52271321,2.657411096,30.55110534,12.83498143,30.73922228,0.993880231
Algeria,0.398608827,0.692270603,161.2431658,4.488033439,62.40020382,21.66041068,62.79881265,0.993652606
Guatemala,0.071574686,0.057920287,16.54061139,0.717491324,10.7880041,2.175701264,10.85957879,0.993409073
